iter	Passed	Remaining
0	0	94
1	1	89
2	2	85
3	3	78
4	3	75
5	4	73
6	5	71
7	6	71
8	6	70
9	7	68
10	8	67
11	9	66
12	9	64
13	10	62
14	10	61
15	11	61
16	12	60
17	13	59
18	13	59
19	14	58
20	15	57
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	23	49
32	23	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
